step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
1,1770939742.507687,D1,0.453722421,0.421903251,0.005625377,D2,0.002082580
1,1770939742.507687,D2,0.621695748,0.578096749,0.007707957,D2,0.002082580
2,1770939742.539830,D1,0.454321860,0.422049213,0.011177694,D2,0.004133500
2,1770939742.539830,D2,0.622144690,0.577950787,0.015311194,D2,0.004133500
3,1770939742.574139,D1,0.454706424,0.421991317,0.016655209,D2,0.006158618
3,1770939742.574139,D2,0.622819123,0.578008683,0.022813828,D2,0.006158618
4,1770939742.610582,D1,0.455163296,0.422016992,0.022060033,D2,0.008156050
4,1770939742.610582,D2,0.623379285,0.577983008,0.030216083,D2,0.008156050
5,1770939742.644085,D1,0.455559342,0.421946866,0.027391858,D2,0.010128720
5,1770939742.644085,D2,0.624101105,0.578053134,0.037520577,D2,0.010128720
6,1770939742.672890,D1,0.455837411,0.421796636,0.032650588,D2,0.012079093
6,1770939742.672890,D2,0.624866825,0.578203364,0.044729681,D2,0.012079093
7,1770939742.701980,D1,0.456035247,0.421656621,0.037837335,D2,0.014007195
7,1770939742.701980,D2,0.625497034,0.578343379,0.051844530,D2,0.014007195
8,1770939742.731431,D1,0.456497486,0.421757604,0.042956272,D2,0.015906897
8,1770939742.731431,D2,0.625871822,0.578242396,0.058863169,D2,0.015906897
9,1770939742.761163,D1,0.457195966,0.421964943,0.048009721,D2,0.017775740
9,1770939742.761163,D2,0.626296806,0.578035057,0.065785461,D2,0.017775740
10,1770939742.794497,D1,0.457484201,0.421889702,0.052994787,D2,0.019621671
10,1770939742.794497,D2,0.626885006,0.578110298,0.072616458,D2,0.019621671
11,1770939742.829553,D1,0.457753837,0.421783768,0.057911974,D2,0.021445815
11,1770939742.829553,D2,0.627526990,0.578216232,0.079357789,D2,0.021445815
12,1770939742.872139,D1,0.458155479,0.421731715,0.062762904,D2,0.023247025
12,1770939742.872139,D2,0.628211667,0.578268285,0.086009929,D2,0.023247025
13,1770939742.901188,D1,0.458514625,0.421596639,0.067547354,D2,0.025027821
13,1770939742.901188,D2,0.629052454,0.578403361,0.092575174,D2,0.025027821
14,1770939742.930475,D1,0.458811719,0.421587369,0.072267887,D2,0.026785120
14,1770939742.930475,D2,0.629483976,0.578412631,0.099053007,D2,0.026785120
15,1770939742.960542,D1,0.459233203,0.421646247,0.076926265,D2,0.028517419
15,1770939742.960542,D2,0.629910139,0.578353753,0.105443684,D2,0.028517419
16,1770939742.994215,D1,0.459508309,0.421547281,0.081521212,D2,0.030229259
16,1770939742.994215,D2,0.630543341,0.578452719,0.111750471,D2,0.030229259
17,1770939743.028880,D1,0.459946331,0.421567236,0.086055159,D2,0.031917742
17,1770939743.028880,D2,0.631092754,0.578432764,0.117972901,D2,0.031917742
18,1770939743.064846,D1,0.460127397,0.421449335,0.090527081,D2,0.033586857
18,1770939743.064846,D2,0.631646534,0.578550665,0.124113938,D2,0.033586857
19,1770939743.100890,D1,0.460493142,0.421474624,0.094939715,D2,0.035233042
19,1770939743.100890,D2,0.632083057,0.578525376,0.130172757,D2,0.035233042
20,1770939743.136752,D1,0.460748247,0.421454433,0.099293245,D2,0.036857817
20,1770939743.136752,D2,0.632485590,0.578545567,0.136151062,D2,0.036857817
21,1770939743.178580,D1,0.460934050,0.421284322,0.103586459,D2,0.038465464
21,1770939743.178580,D2,0.633182265,0.578715678,0.142051923,D2,0.038465464
22,1770939743.207520,D1,0.461185958,0.421142528,0.107820540,D2,0.040055457
22,1770939743.207520,D2,0.633896887,0.578857472,0.147875997,D2,0.040055457
23,1770939743.238654,D1,0.461560898,0.421125596,0.111997941,D2,0.041624702
23,1770939743.238654,D2,0.634456304,0.578874404,0.153622643,D2,0.041624702
24,1770939743.269675,D1,0.461695557,0.421013855,0.116118153,D2,0.043176003
24,1770939743.269675,D2,0.634932383,0.578986145,0.159294156,D2,0.043176003
25,1770939743.299394,D1,0.462154019,0.421046156,0.120183860,D2,0.044705759
25,1770939743.299394,D2,0.635478657,0.578953844,0.164889618,D2,0.044705759
26,1770939743.327810,D1,0.462315049,0.421003096,0.124194783,D2,0.046216266
26,1770939743.327810,D2,0.635812383,0.578996904,0.170411049,D2,0.046216266
27,1770939743.356381,D1,0.462623977,0.421055949,0.128152932,D2,0.047705224
27,1770939743.356381,D2,0.636099311,0.578944051,0.175858156,D2,0.047705224
28,1770939743.385855,D1,0.463055898,0.421044364,0.132058151,D2,0.049174638
28,1770939743.385855,D2,0.636723454,0.578955636,0.181232789,D2,0.049174638
29,1770939743.414676,D1,0.463321438,0.421024355,0.135911034,D2,0.050624993
29,1770939743.414676,D2,0.637140882,0.578975645,0.186536027,D2,0.050624993
30,1770939743.443532,D1,0.463446937,0.420909962,0.139711019,D2,0.052059061
30,1770939743.443532,D2,0.637612621,0.579090038,0.191770080,D2,0.052059061
31,1770939743.481782,D1,0.463798690,0.420993027,0.143461446,D2,0.053471793
31,1770939743.481782,D2,0.637879154,0.579006973,0.196933239,D2,0.053471793
32,1770939743.512970,D1,0.464237322,0.421039065,0.147162481,D2,0.054864460
32,1770939743.512970,D2,0.638361844,0.578960935,0.202026941,D2,0.054864460
33,1770939743.547666,D1,0.464711877,0.421066449,0.150814534,D2,0.056237829
33,1770939743.547666,D2,0.638942614,0.578933551,0.207052363,D2,0.056237829
34,1770939743.585973,D1,0.465026156,0.421066996,0.154417900,D2,0.057592871
34,1770939743.585973,D2,0.639373286,0.578933004,0.212010771,D2,0.057592871
35,1770939743.622763,D1,0.465257546,0.421069785,0.157973259,D2,0.058929772
35,1770939743.622763,D2,0.639684111,0.578930215,0.216903031,D2,0.058929772
36,1770939743.657732,D1,0.465471049,0.420918039,0.161479189,D2,0.060252894
36,1770939743.657732,D2,0.640376185,0.579081961,0.221732083,D2,0.060252894
37,1770939743.686864,D1,0.466084943,0.421148428,0.164941446,D2,0.061552231
37,1770939743.686864,D2,0.640615003,0.578851572,0.226493676,D2,0.061552231
38,1770939743.715620,D1,0.466455805,0.421122349,0.168357191,D2,0.062834938
38,1770939743.715620,D2,0.641193330,0.578877651,0.231192129,D2,0.062834938
39,1770939743.745085,D1,0.466701259,0.421101037,0.171727109,D2,0.064101112
39,1770939743.745085,D2,0.641586818,0.578898963,0.235828220,D2,0.064101112
40,1770939743.781286,D1,0.467012070,0.420996301,0.175050698,D2,0.065353195
40,1770939743.781286,D2,0.642290004,0.579003699,0.240403893,D2,0.065353195
41,1770939743.824564,D1,0.467194121,0.420946416,0.178329308,D2,0.066589915
41,1770939743.824564,D2,0.642671894,0.579053584,0.244919223,D2,0.066589915
42,1770939743.854882,D1,0.467691621,0.420966820,0.181564474,D2,0.067809601
42,1770939743.854882,D2,0.643302401,0.579033180,0.249374075,D2,0.067809601
43,1770939743.896305,D1,0.468094664,0.421035700,0.184757424,D2,0.069011188
43,1770939743.896305,D2,0.643674871,0.578964300,0.253768612,D2,0.069011188
44,1770939743.932342,D1,0.468356633,0.420952995,0.187906698,D2,0.070198959
44,1770939743.932342,D2,0.644253654,0.579047005,0.258105657,D2,0.070198959
45,1770939743.964285,D1,0.468660054,0.420900842,0.191013287,D2,0.071372283
45,1770939743.964285,D2,0.644808980,0.579099158,0.262385570,D2,0.071372283
46,1770939743.994858,D1,0.468834929,0.420840530,0.194077650,D2,0.072531572
46,1770939743.994858,D2,0.645209218,0.579159470,0.266609222,D2,0.072531572
47,1770939744.025362,D1,0.469158221,0.420749664,0.197099944,D2,0.073677827
47,1770939744.025362,D2,0.645894889,0.579250336,0.270777770,D2,0.073677827
48,1770939744.055788,D1,0.469387661,0.420723187,0.200081587,D2,0.074809504
